Postal Code,VIN,Stock Num,MSRP,Year,Make,Model,Ext. Warranty Miles,Lender,Purchase Date,Sales Type,Purchase Type,Sale Price
62681,5XXGN4A75DG215980,K28047,"$27,450.00 ",2013,KIA,OPTIMA,100033,1st MID AMERICA,6/8/2013 0:00,New Vehicle,Finance,"$27,450.00 "
62082,1G1AM18B777371347,44659A,"$6,750.57 ",2007,CHEVROLET,COBALT,0,CONVERSION - DO NOT USE,3/27/2015 0:00,Used Vehicle,Cash,"$6,750.57 "
62640,5XYKT4A14BG110707,K25705,"$25,125.00 ",2011,KIA,SORENTO,0,CONVERSION - DO NOT USE,11/12/2010 0:00,New Vehicle,Finance,"$25,125.00 "
62625,5NMSG13D69H307081,24394B,"$14,549.00 ",2009,HYUNDAI,SANTA FE,104045,BMO HARRIS BANK NA,6/1/2013 0:00,Used Vehicle,Finance,"$14,549.00 "
62618,5XYKT4A12BG080574,K25612,"$24,267.00 ",2011,KIA,SORENTO,0,US BANK NA,8/6/2010 0:00,New Vehicle,Finance,"$24,267.00 "
62626,3GCRKSE3XAG275419,26966A,"$25,731.00 ",2010,CHEVROLET TRUCK,SILVERADO 1500,0,CAPITAL ONE AUTO FINANCE,12/17/2015 0:00,Used Vehicle,Finance,"$25,731.00 "
62704,2B3CL3CG5BH607297,25457B,"$15,499.00 ",2011,DODGE,CHARGER,109813,1st MID AMERICA,7/16/2015 0:00,Used Vehicle,Finance,"$15,499.00 "
62702,KNDUP131146515115,K28028A,"$4,755.70 ",2004,KIA,SEDONA,0,CONVERSION - DO NOT USE,5/17/2013 0:00,Used Vehicle,Finance,"$4,755.70 "
62670,1G11B5SL4EF212013,26681B,"$14,985.00 ",2014,CHEVROLET,MALIBU,0,CEFCU,12/14/2015 0:00,Used Vehicle,Finance,"$14,985.00 "
61542-1252,5XYPH4A10GG041190,K28763,"$35,595.00 ",2016,KIA,SORENTO,0,KIA MOTORS FINANCE,4/22/2015 0:00,Used Vehicle,Finance,"$35,595.00 "
62670,2CKDL33FX86045954,26515C,"$9,140.00 ",2008,PONTIAC,TORRENT,141947,CONVERSION - DO NOT USE,6/11/2015 0:00,Used Vehicle,Cash,"$9,140.00 "
62615,4S4BRCGC3D3235153,43930,"$26,100.00 ",2013,SUBARU,OUTBACK WAGON,0,JP MORGAN CHASE BANK NA,12/17/2012 0:00,New Vehicle,Finance,"$26,100.00 "
62712,3C6JD7DT1CG195300,23454,"$28,067.00 ",2012,DODGE TRUCK,RAM 1500,0,HEARTLAND,4/14/2012 0:00,New Vehicle,Finance,"$28,067.00 "
62363,5XYKWDA74FG635090,K28583,"$33,884.00 ",2015,KIA,SORENTO,0,CAPITAL ONE AUTO FINANCE,1/13/2015 0:00,New Vehicle,Finance,"$33,884.00 "
62704,JF2SH6DC0AH759051,43110,"$26,690.00 ",2010,SUBARU,FORESTER,0,JP MORGAN CHASE BANK NA,2/27/2010 0:00,New Vehicle,Finance,"$26,690.00 "
