,MSRP,Year,Make,Model,Purchase Date,Sales Type,Purchase Type,Sale Price,Warranty Miles,Zipcode,Model Type
15280,"$15,750.00 ",2016,RAM,1500 (3.6L),12/27/2019 0:00,Used Vehicle,Cash,"$15,750.00 ",0,62702,TRUCK
15281,"$23,990.00 ",2016,SUBARU,FORESTER,12/27/2019 0:00,Used Vehicle,Finance,"$20,086.00 ",0,63116,COMPACT SUV
15282,"$15,990.00 ",2015,OTHER,SONATA,12/27/2019 0:00,Used Vehicle,Finance,"$12,714.00 ",1,62712,MID-SIZE SEDAN
15283,"$28,990.00 ",2016,OTHER,WRANGLER UNLIMITED,12/27/2019 0:00,Used Vehicle,Finance,"$26,123.00 ",1,62625,COMPACT SUV
15284,"$24,990.00 ",2014,RAM,PROMASTER (3.6L),12/27/2019 0:00,Used Vehicle,Finance,"$22,722.00 ",0,61550,CARGO VAN
15285,"$45,839.00 ",2019,RAM,1500 CLASSIC,12/28/2019 0:00,New Vehicle,Finance,"$41,115.00 ",1,62613,TRUCK
15286,"$39,990.00 ",2013,RAM,3500,12/28/2019 0:00,Used Vehicle,Finance,"$36,500.00 ",1,62016,TRUCK
15287,"$44,541.00 ",2020,SUBARU,ASCENT,12/28/2019 0:00,New Vehicle,Cash,"$41,132.00 ",0,62650,SUV
15288,"$13,325.00 ",2015,OTHER,TOWN & COUNTRY,12/28/2019 0:00,Used Vehicle,Finance,"$13,325.00 ",1,62702,VAN
15289,"$23,990.00 ",2020,KIA,SOUL,12/28/2019 0:00,New Vehicle,Finance,"$23,990.00 ",1,62518,COMPACT SUV
15290,"$49,714.00 ",2018,DODGE,DURANGO (3.6L),12/28/2019 0:00,Used Vehicle,Cash,"$39,000.00 ",0,62557,SUV
15291,"$28,429.00 ",2019,DODGE,JOURNEY,12/28/2019 0:00,New Vehicle,Finance,"$28,585.00 ",1,62691,SUV
15292,"$30,419.00 ",2020,KIA,SPORTAGE,12/28/2019 0:00,New Vehicle,Finance,"$29,096.00 ",1,62661,COMPACT SUV
15293,"$44,541.00 ",2020,SUBARU,ASCENT,12/30/2019 0:00,New Vehicle,Finance,"$42,221.00 ",1,62515,SUV
15294,"$32,990.00 ",2016,OTHER,F-150,12/30/2019 0:00,Used Vehicle,Cash,"$30,917.00 ",0,62557,TRUCK
15295,"$22,990.00 ",2018,OTHER,CIVIC SEDAN,12/30/2019 0:00,Used Vehicle,Finance,"$20,933.00 ",1,62702,COMPACT SEDAN
15296,"$8,000.00 ",2017,OTHER,4010 TRANS MULE,12/30/2019 0:00,Used Vehicle,Cash,"$8,000.00 ",0,62052,COMPACT SEDAN
15297,"$19,990.00 ",2018,OTHER,SANTA FE SPORT,12/30/2019 0:00,Used Vehicle,Finance,"$14,995.00 ",1,62618,SUV
15298,"$24,789.00 ",2019,DODGE,JOURNEY,12/30/2019 0:00,New Vehicle,Finance,"$24,800.00 ",0,62704,SUV
15299,"$22,990.00 ",2016,RAM,1500,12/30/2019 0:00,Used Vehicle,Finance,"$25,000.00 ",0,62690,TRUCK
15300,"$53,044.00 ",2020,RAM,1500,12/30/2019 0:00,New Vehicle,Finance,"$47,968.00 ",0,62694,TRUCK
15301,"$33,379.00 ",2020,SUBARU,FORESTER,12/30/2019 0:00,New Vehicle,Cash,"$31,864.00 ",1,62702,COMPACT SUV
15302,"$35,414.00 ",2019,KIA,SEDONA,12/31/2019 0:00,New Vehicle,Finance,"$33,899.00 ",1,62693,VAN
15303,"$58,770.00 ",2019,RAM,2500 (6.4L),12/31/2019 0:00,New Vehicle,Cash,"$52,191.00 ",0,62051,TRUCK
15304,"$12,655.00 ",2016,KIA,SORENTO,12/31/2019 0:00,Used Vehicle,Finance,"$12,655.00 ",1,62703,SUV
15305,"$47,289.00 ",2020,KIA,TELLURIDE,12/31/2019 0:00,New Vehicle,Finance,"$46,980.00 ",0,62704,SUV
15306,"$43,179.00 ",2020,KIA,TELLURIDE,12/31/2019 0:00,New Vehicle,Finance,"$42,930.00 ",1,62563,SUV
15307,"$54,709.00 ",2020,DODGE,DURANGO,12/31/2019 0:00,New Vehicle,Finance,"$49,828.00 ",1,62535,SUV
15308,"$23,424.00 ",2017,KIA,OPTIMA,12/31/2019 0:00,Used Vehicle,Finance,"$14,450.00 ",0,62704,MID-SIZE SEDAN
15309,"$16,919.00 ",2020,KIA,RIO,12/31/2019 0:00,New Vehicle,Finance,"$16,919.00 ",1,62703,COMPACT SEDAN
15310,"$12,399.36 ",2013,KIA,SOUL,2/8/2016 0:00,Used Vehicle,Finance,"$12,399.36 ",0,62571,COMPACT SUV
15311,"$17,639.00 ",2016,KIA,SORENTO,11/29/2017 0:00,Used Vehicle,Finance,"$17,639.00 ",0,62521,SUV
15315,"$30,614.00 ",2020,SUBARU,CROSSTREK,3/7/2020 0:00,New Vehicle,Cash,"$29,401.00 ",0,62522,COMPACT SUV
15317,"$29,452.00 ",2017,OTHER,Silverado 1500,3/9/2020 0:00,Used Vehicle,Finance,"$29,452.00 ",0,62711,TRUCK
15318,"$30,911.00 ",2019,OTHER,Grand Cherokee,3/10/2020 0:00,Used Vehicle,Finance,"$40,911.00 ",0,62629,SUV
15319,"$18,797.00 ",2015,SUBARU,Outback,3/10/2020 0:00,Used Vehicle,Cash,"$18,797.00 ",1,62556,SUV
15320,"$12,989.00 ",2009,DODGE,Ram 2500,3/10/2020 0:00,Used Vehicle,Finance,"$9,995.00 ",0,61742,TRUCK
15321,"$25,902.00 ",2017,OTHER,F-150,3/12/2020 0:00,Used Vehicle,Finance,"$25,902.00 ",1,62711,TRUCK
15322,"$10,959.00 ",2010,OTHER,RAV4,3/13/2020 0:00,Used Vehicle,Finance,"$10,959.00 ",0,62615,COMPACT SUV
15323,"$65,954.00 ",2019,RAM,1500,3/13/2020 0:00,New Vehicle,Finance,"$58,098.00 ",1,62363,TRUCK
15324,"$47,634.00 ",2020,KIA,Telluride,3/14/2020 0:00,New Vehicle,Finance,"$47,634.00 ",0,62704,SUV
15325,"$28,995.00 ",2012,RAM,2500,3/14/2020 0:00,Used Vehicle,Finance,"$24,000.00 ",0,61858,TRUCK
